contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026041304000132,GLH,49,13,100,282.0,28200.0,2026-04-13,186084023,2924,Online Securities Pvt. Ltd.,Thrive Brokerage House Pvt. Ltd,2026-04-13 11:01:27.935445,GreenLife Hydropower Limited
2026041304000159,GLH,49,68,80,282.0,22560.0,2026-04-13,186084283,2924,Online Securities Pvt. Ltd.,Elite Stock House Limited,2026-04-13 11:01:42.697867,GreenLife Hydropower Limited
2026041304000242,GLH,49,62,20,282.0,5640.0,2026-04-13,186085570,2924,Online Securities Pvt. Ltd.,Capital Max Securities Ltd,2026-04-13 11:02:54.373037,GreenLife Hydropower Limited
2026041304000243,GLH,92,62,10,280.0,2800.0,2026-04-13,186085572,2924,Roadshow securities limited,Capital Max Securities Ltd,2026-04-13 11:02:54.373099,GreenLife Hydropower Limited
2026041304000244,GLH,54,62,50,280.0,14000.0,2026-04-13,186085574,2924,Sewa Securities Pvt. Ltd.,Capital Max Securities Ltd,2026-04-13 11:02:54.373141,GreenLife Hydropower Limited
2026041304000245,GLH,36,62,80,278.1,22248.0,2026-04-13,186085576,2924,Secured Securities Ltd.,Capital Max Securities Ltd,2026-04-13 11:02:54.373160,GreenLife Hydropower Limited
2026041304000246,GLH,59,62,45,277.1,12469.5,2026-04-13,186085577,2924,Deevyaa Securities & Stock House Pvt. Ltd,Capital Max Securities Ltd,2026-04-13 11:02:54.373183,GreenLife Hydropower Limited
2026041304000436,GLH,56,48,10,278.0,2780.0,2026-04-13,186088407,2924,Sri Hari Securities Pvt. Ltd.,Trishakti Securities Public Limited,2026-04-13 11:05:12.210733,GreenLife Hydropower Limited
2026041304000531,GLH,29,50,10,282.0,2820.0,2026-04-13,186089586,2924,Trisul Securities & Invt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,2026-04-13 11:06:09.399951,GreenLife Hydropower Limited
2026041304000573,GLH,38,50,200,282.0,56400.0,2026-04-13,186090344,2924,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,2026-04-13 11:06:50.674150,GreenLife Hydropower Limited
2026041304000579,GLH,34,50,90,282.0,25380.0,2026-04-13,186090359,2924,Vision Securities Pvt. Ltd,Cristal Kanchanjanga Securites Pvt. Ltd.,2026-04-13 11:06:51.362966,GreenLife Hydropower Limited
2026041304000703,GLH,54,42,1500,282.3,423450.0,2026-04-13,186092010,2924,Sewa Securities Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-13 11:08:24.240616,GreenLife Hydropower Limited
2026041304000719,GLH,60,42,300,282.3,84690.0,2026-04-13,186092119,2924,Nagarik Stock Dealer ,Sani Securities Company Ltd.,2026-04-13 11:08:28.898701,GreenLife Hydropower Limited
2026041304000747,GLH,60,54,100,283.0,28300.0,2026-04-13,186092329,2924,Nagarik Stock Dealer ,Sewa Securities Pvt. Ltd.,2026-04-13 11:08:42.635537,GreenLife Hydropower Limited
2026041304000801,GLH,60,58,10,283.0,2830.0,2026-04-13,186094059,2924,Nagarik Stock Dealer ,Naasa Securities Co. Ltd.,2026-04-13 11:09:17.066223,GreenLife Hydropower Limited
2026041304000809,GLH,49,44,10,284.0,2840.0,2026-04-13,186094188,2924,Online Securities Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-13 11:09:26.513968,GreenLife Hydropower Limited
2026041304000899,GLH,60,43,151,283.0,42733.0,2026-04-13,186094747,2924,Nagarik Stock Dealer ,South Asian Bulls Pvt. Ltd.,2026-04-13 11:09:46.679344,GreenLife Hydropower Limited
2026041304000928,GLH,60,43,150,283.0,42450.0,2026-04-13,186095109,2924,Nagarik Stock Dealer ,South Asian Bulls Pvt. Ltd.,2026-04-13 11:10:07.461920,GreenLife Hydropower Limited
2026041304000968,GLH,60,42,70,283.0,19810.0,2026-04-13,186095553,2924,Nagarik Stock Dealer ,Sani Securities Company Ltd.,2026-04-13 11:10:29.252745,GreenLife Hydropower Limited
2026041304001010,GLH,60,43,19,283.0,5377.0,2026-04-13,186096133,2924,Nagarik Stock Dealer ,South Asian Bulls Pvt. Ltd.,2026-04-13 11:10:55.973361,GreenLife Hydropower Limited
2026041304001067,GLH,60,4,100,283.0,28300.0,2026-04-13,186096904,2924,Nagarik Stock Dealer ,Opal Securities Investment (PVT) Ltd.,2026-04-13 11:11:31.739956,GreenLife Hydropower Limited
2026041304001068,GLH,45,4,500,283.0,141500.0,2026-04-13,186096905,2924,Imperial Securities Company Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,2026-04-13 11:11:31.740122,GreenLife Hydropower Limited
2026041304001069,GLH,42,16,500,283.9,141950.0,2026-04-13,186096920,2924,Sani Securities Company Ltd.,Primo Securities (PVT) Ltd.,2026-04-13 11:11:32.524536,GreenLife Hydropower Limited
2026041304001182,GLH,88,85,25,283.0,7075.0,2026-04-13,186098861,2924,Blue Chip Securities Ltd,Capital Hub P. Ltd,2026-04-13 11:13:06.701374,GreenLife Hydropower Limited
2026041304001327,GLH,60,16,500,283.9,141950.0,2026-04-13,186100775,2924,Nagarik Stock Dealer ,Primo Securities (PVT) Ltd.,2026-04-13 11:15:06.366551,GreenLife Hydropower Limited
2026041304001328,GLH,60,44,120,284.0,34080.0,2026-04-13,186100777,2924,Nagarik Stock Dealer ,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-13 11:15:06.366616,GreenLife Hydropower Limited
2026041304001329,GLH,60,4,500,284.3,142150.0,2026-04-13,186100779,2924,Nagarik Stock Dealer ,Opal Securities Investment (PVT) Ltd.,2026-04-13 11:15:06.366641,GreenLife Hydropower Limited
2026041304001330,GLH,60,4,400,284.5,113800.0,2026-04-13,186100781,2924,Nagarik Stock Dealer ,Opal Securities Investment (PVT) Ltd.,2026-04-13 11:15:06.366665,GreenLife Hydropower Limited
2026041304001331,GLH,60,4,480,284.9,136752.0,2026-04-13,186100784,2924,Nagarik Stock Dealer ,Opal Securities Investment (PVT) Ltd.,2026-04-13 11:15:06.366685,GreenLife Hydropower Limited
2026041304001351,GLH,60,4,20,284.9,5698.0,2026-04-13,186101027,2924,Nagarik Stock Dealer ,Opal Securities Investment (PVT) Ltd.,2026-04-13 11:15:22.150277,GreenLife Hydropower Limited
2026041304001352,GLH,60,58,980,284.9,279202.0,2026-04-13,186101030,2924,Nagarik Stock Dealer ,Naasa Securities Co. Ltd.,2026-04-13 11:15:22.150328,GreenLife Hydropower Limited
2026041304001386,GLH,8,58,20,284.9,5698.0,2026-04-13,186101377,2924,Brilliant Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-13 11:15:43.453195,GreenLife Hydropower Limited
2026041304001446,GLH,8,19,10,284.9,2849.0,2026-04-13,186102053,2924,Brilliant Securities Pvt. Ltd.,Nepal Investment And Securities Trading Private Limited,2026-04-13 11:16:20.064440,GreenLife Hydropower Limited
2026041304001614,GLH,41,35,200,286.9,57380.0,2026-04-13,186103274,2924,Linch Stock Market Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-13 11:17:27.506697,GreenLife Hydropower Limited
2026041304001623,GLH,8,35,615,286.9,176443.5,2026-04-13,186103399,2924,Brilliant Securities Pvt. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-13 11:17:34.510827,GreenLife Hydropower Limited
2026041304001700,GLH,49,56,100,287.0,28700.0,2026-04-13,186103968,2924,Online Securities Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,2026-04-13 11:18:02.872638,GreenLife Hydropower Limited
2026041304001736,GLH,39,56,400,287.0,114800.0,2026-04-13,186104153,2924,Sumeru Securities Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,2026-04-13 11:18:12.614433,GreenLife Hydropower Limited
2026041304001737,GLH,39,25,200,287.0,57400.0,2026-04-13,186104155,2924,Sumeru Securities Pvt. Ltd.,Sweta Securities Private Limited,2026-04-13 11:18:12.614613,GreenLife Hydropower Limited
2026041304001738,GLH,39,36,400,287.5,115000.0,2026-04-13,186104157,2924,Sumeru Securities Pvt. Ltd.,Secured Securities Ltd.,2026-04-13 11:18:12.614734,GreenLife Hydropower Limited
2026041304001739,GLH,39,17,200,287.6,57520.0,2026-04-13,186104159,2924,Sumeru Securities Pvt. Ltd.,ABC Securities Private Limited,2026-04-13 11:18:12.614850,GreenLife Hydropower Limited
2026041304001740,GLH,39,58,800,287.6,230080.0,2026-04-13,186104162,2924,Sumeru Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-13 11:18:12.614974,GreenLife Hydropower Limited
2026041304001742,GLH,8,34,10,286.9,2869.0,2026-04-13,186104180,2924,Brilliant Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,2026-04-13 11:18:14.505685,GreenLife Hydropower Limited
2026041304001881,GLH,60,47,1000,285.0,285000.0,2026-04-13,186105090,2924,Nagarik Stock Dealer ,Neev Securities Pvt. Ltd.,2026-04-13 11:19:16.825560,GreenLife Hydropower Limited
2026041304001882,GLH,60,47,1000,285.0,285000.0,2026-04-13,186105092,2924,Nagarik Stock Dealer ,Neev Securities Pvt. Ltd.,2026-04-13 11:19:16.825666,GreenLife Hydropower Limited
2026041304001883,GLH,60,47,1000,285.0,285000.0,2026-04-13,186105093,2924,Nagarik Stock Dealer ,Neev Securities Pvt. Ltd.,2026-04-13 11:19:16.825709,GreenLife Hydropower Limited
2026041304002030,GLH,60,47,1000,284.9,284900.0,2026-04-13,186106377,2924,Nagarik Stock Dealer ,Neev Securities Pvt. Ltd.,2026-04-13 11:20:31.654006,GreenLife Hydropower Limited
2026041304002240,GLH,42,62,100,284.0,28400.0,2026-04-13,186108231,2924,Sani Securities Company Ltd.,Capital Max Securities Ltd,2026-04-13 11:22:28.373338,GreenLife Hydropower Limited
2026041304002250,GLH,39,43,100,285.9,28590.0,2026-04-13,186108397,2924,Sumeru Securities Pvt. Ltd.,South Asian Bulls Pvt. Ltd.,2026-04-13 11:22:35.414076,GreenLife Hydropower Limited
2026041304002251,GLH,39,58,200,285.9,57180.0,2026-04-13,186108399,2924,Sumeru Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-13 11:22:35.414256,GreenLife Hydropower Limited
2026041304002252,GLH,39,22,600,286.0,171600.0,2026-04-13,186108401,2924,Sumeru Securities Pvt. Ltd.,Siprabi Securities Pvt. Ltd.,2026-04-13 11:22:35.414401,GreenLife Hydropower Limited
2026041304002538,GLH,39,52,100,286.0,28600.0,2026-04-13,186110837,2924,Sumeru Securities Pvt. Ltd.,Sundhara Securities Limited,2026-04-13 11:25:28.735130,GreenLife Hydropower Limited
2026041304002617,GLH,32,19,5000,285.0,1425000.0,2026-04-13,186111499,2924,Premier Securities Company Ltd.,Nepal Investment And Securities Trading Private Limited,2026-04-13 11:26:05.091340,GreenLife Hydropower Limited
2026041304002733,GLH,52,34,500,285.5,142750.0,2026-04-13,186112441,2924,Sundhara Securities Limited,Vision Securities Pvt. Ltd,2026-04-13 11:26:55.618986,GreenLife Hydropower Limited
2026041304002765,GLH,52,42,500,285.5,142750.0,2026-04-13,186112672,2924,Sundhara Securities Limited,Sani Securities Company Ltd.,2026-04-13 11:27:10.022614,GreenLife Hydropower Limited
2026041304002796,GLH,45,42,250,285.5,71375.0,2026-04-13,186112867,2924,Imperial Securities Company Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-13 11:27:20.782740,GreenLife Hydropower Limited
2026041304002825,GLH,45,74,250,285.5,71375.0,2026-04-13,186113104,2924,Imperial Securities Company Pvt. Ltd.,KALASH STOCK MARKET PVT. LTD.,2026-04-13 11:27:34.600938,GreenLife Hydropower Limited
2026041304002870,GLH,32,34,490,285.0,139650.0,2026-04-13,186113665,2924,Premier Securities Company Ltd.,Vision Securities Pvt. Ltd,2026-04-13 11:28:13.071345,GreenLife Hydropower Limited
2026041304002881,GLH,32,49,10,285.0,2850.0,2026-04-13,186113783,2924,Premier Securities Company Ltd.,Online Securities Pvt. Ltd.,2026-04-13 11:28:17.975768,GreenLife Hydropower Limited
2026041304002898,GLH,32,58,200,285.0,57000.0,2026-04-13,186113909,2924,Premier Securities Company Ltd.,Naasa Securities Co. Ltd.,2026-04-13 11:28:29.000750,GreenLife Hydropower Limited
2026041304002912,GLH,32,19,5155,285.0,1469175.0,2026-04-13,186114040,2924,Premier Securities Company Ltd.,Nepal Investment And Securities Trading Private Limited,2026-04-13 11:28:37.795414,GreenLife Hydropower Limited
2026041304002913,GLH,60,19,1000,285.0,285000.0,2026-04-13,186114042,2924,Nagarik Stock Dealer ,Nepal Investment And Securities Trading Private Limited,2026-04-13 11:28:37.795640,GreenLife Hydropower Limited
2026041304002929,GLH,42,57,250,284.0,71000.0,2026-04-13,186114211,2924,Sani Securities Company Ltd.,Aryatara Investment & Securities,2026-04-13 11:28:48.698953,GreenLife Hydropower Limited
2026041304002947,GLH,42,45,10,284.0,2840.0,2026-04-13,186114375,2924,Sani Securities Company Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-13 11:28:58.172512,GreenLife Hydropower Limited
2026041304002951,GLH,42,19,140,284.0,39760.0,2026-04-13,186114406,2924,Sani Securities Company Ltd.,Nepal Investment And Securities Trading Private Limited,2026-04-13 11:29:01.088646,GreenLife Hydropower Limited
2026041304002952,GLH,88,19,45,284.0,12780.0,2026-04-13,186114407,2924,Blue Chip Securities Ltd,Nepal Investment And Securities Trading Private Limited,2026-04-13 11:29:01.088757,GreenLife Hydropower Limited
2026041304003003,GLH,88,58,10,284.0,2840.0,2026-04-13,186114825,2924,Blue Chip Securities Ltd,Naasa Securities Co. Ltd.,2026-04-13 11:29:29.421245,GreenLife Hydropower Limited
2026041304003114,GLH,8,49,400,285.0,114000.0,2026-04-13,186115876,2924,Brilliant Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,2026-04-13 11:30:43.899676,GreenLife Hydropower Limited
2026041304003115,GLH,16,95,200,284.1,56820.0,2026-04-13,186115888,2924,Primo Securities (PVT) Ltd.,Magnet Securities and Investment Company Private Limited,2026-04-13 11:30:45.710883,GreenLife Hydropower Limited
2026041304003116,GLH,88,95,275,284.0,78100.0,2026-04-13,186115889,2924,Blue Chip Securities Ltd,Magnet Securities and Investment Company Private Limited,2026-04-13 11:30:45.711108,GreenLife Hydropower Limited
2026041304003362,GLH,59,39,55,284.9,15669.5,2026-04-13,186118544,2924,Deevyaa Securities & Stock House Pvt. Ltd,Sumeru Securities Pvt. Ltd.,2026-04-13 11:33:53.018762,GreenLife Hydropower Limited
2026041304003399,GLH,41,49,600,285.0,171000.0,2026-04-13,186119075,2924,Linch Stock Market Ltd.,Online Securities Pvt. Ltd.,2026-04-13 11:34:29.144571,GreenLife Hydropower Limited
2026041304003400,GLH,41,57,39,285.0,11115.0,2026-04-13,186119077,2924,Linch Stock Market Ltd.,Aryatara Investment & Securities,2026-04-13 11:34:29.144788,GreenLife Hydropower Limited
2026041304003401,GLH,41,49,30,285.0,8550.0,2026-04-13,186119079,2924,Linch Stock Market Ltd.,Online Securities Pvt. Ltd.,2026-04-13 11:34:29.144845,GreenLife Hydropower Limited
2026041304003402,GLH,41,44,30,285.0,8550.0,2026-04-13,186119081,2924,Linch Stock Market Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-13 11:34:29.144898,GreenLife Hydropower Limited
2026041304003403,GLH,41,49,10,285.0,2850.0,2026-04-13,186119084,2924,Linch Stock Market Ltd.,Online Securities Pvt. Ltd.,2026-04-13 11:34:29.144949,GreenLife Hydropower Limited
2026041304003687,GLH,41,45,10,285.0,2850.0,2026-04-13,186121101,2924,Linch Stock Market Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-13 11:37:03.213074,GreenLife Hydropower Limited
2026041304003723,GLH,41,4,10,285.0,2850.0,2026-04-13,186121603,2924,Linch Stock Market Ltd.,Opal Securities Investment (PVT) Ltd.,2026-04-13 11:37:52.016959,GreenLife Hydropower Limited
2026041304003727,GLH,41,16,60,285.0,17100.0,2026-04-13,186121616,2924,Linch Stock Market Ltd.,Primo Securities (PVT) Ltd.,2026-04-13 11:37:53.328627,GreenLife Hydropower Limited
2026041304003771,GLH,52,35,10,284.5,2845.0,2026-04-13,186121999,2924,Sundhara Securities Limited,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-13 11:38:20.860737,GreenLife Hydropower Limited
2026041304004259,GLH,52,16,40,285.0,11400.0,2026-04-13,186126147,2924,Sundhara Securities Limited,Primo Securities (PVT) Ltd.,2026-04-13 11:43:12.822630,GreenLife Hydropower Limited
2026041304004260,GLH,52,19,10,285.0,2850.0,2026-04-13,186126149,2924,Sundhara Securities Limited,Nepal Investment And Securities Trading Private Limited,2026-04-13 11:43:12.822794,GreenLife Hydropower Limited
2026041304004267,GLH,19,39,50,285.3,14265.0,2026-04-13,186126189,2924,Nepal Investment And Securities Trading Private Limited,Sumeru Securities Pvt. Ltd.,2026-04-13 11:43:16.410357,GreenLife Hydropower Limited
2026041304004268,GLH,19,49,40,285.5,11420.0,2026-04-13,186126191,2924,Nepal Investment And Securities Trading Private Limited,Online Securities Pvt. Ltd.,2026-04-13 11:43:16.410615,GreenLife Hydropower Limited
2026041304004269,GLH,19,42,500,285.9,142950.0,2026-04-13,186126193,2924,Nepal Investment And Securities Trading Private Limited,Sani Securities Company Ltd.,2026-04-13 11:43:16.410772,GreenLife Hydropower Limited
2026041304004285,GLH,52,58,10,285.0,2850.0,2026-04-13,186126325,2924,Sundhara Securities Limited,Naasa Securities Co. Ltd.,2026-04-13 11:43:30.254091,GreenLife Hydropower Limited
2026041304004313,GLH,57,58,100,285.9,28590.0,2026-04-13,186126522,2924,Aryatara Investment & Securities,Naasa Securities Co. Ltd.,2026-04-13 11:43:48.640792,GreenLife Hydropower Limited
2026041304004396,GLH,52,5,10,285.0,2850.0,2026-04-13,186127175,2924,Sundhara Securities Limited,Market Securities & Exchange (PVT) Ltd.,2026-04-13 11:44:42.079370,GreenLife Hydropower Limited
2026041304004473,GLH,51,58,11,285.9,3144.9,2026-04-13,186127720,2924,Oxford Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-13 11:45:25.930359,GreenLife Hydropower Limited
2026041304004492,GLH,6,58,389,285.9,111215.1,2026-04-13,186127855,2924,Agrawal Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,2026-04-13 11:45:34.478656,GreenLife Hydropower Limited
2026041304004555,GLH,84,22,300,286.0,85800.0,2026-04-13,186128416,2924,MILKY WAY SHARE BROKER COMPANY LTD ,Siprabi Securities Pvt. Ltd.,2026-04-13 11:46:15.659855,GreenLife Hydropower Limited
2026041304004591,GLH,6,45,10,285.9,2859.0,2026-04-13,186128733,2924,Agrawal Securities (PVT) Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-13 11:46:43.665524,GreenLife Hydropower Limited
2026041304004594,GLH,49,22,312,286.0,89232.0,2026-04-13,186128781,2924,Online Securities Pvt. Ltd.,Siprabi Securities Pvt. Ltd.,2026-04-13 11:46:47.819103,GreenLife Hydropower Limited
2026041304004595,GLH,49,96,10,286.0,2860.0,2026-04-13,186128783,2924,Online Securities Pvt. Ltd.,Himalayan Securities Limited,2026-04-13 11:46:47.819401,GreenLife Hydropower Limited
2026041304004596,GLH,49,42,1000,286.0,286000.0,2026-04-13,186128785,2924,Online Securities Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-13 11:46:47.819576,GreenLife Hydropower Limited
2026041304004597,GLH,49,42,1000,286.0,286000.0,2026-04-13,186128787,2924,Online Securities Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-13 11:46:47.819752,GreenLife Hydropower Limited
2026041304004598,GLH,49,52,678,286.0,193908.0,2026-04-13,186128790,2924,Online Securities Pvt. Ltd.,Sundhara Securities Limited,2026-04-13 11:46:47.819936,GreenLife Hydropower Limited
2026041304004650,GLH,49,52,100,286.0,28600.0,2026-04-13,186129130,2924,Online Securities Pvt. Ltd.,Sundhara Securities Limited,2026-04-13 11:47:05.686813,GreenLife Hydropower Limited
2026041304004651,GLH,52,52,20,286.0,5720.0,2026-04-13,186129138,2924,Sundhara Securities Limited,Sundhara Securities Limited,2026-04-13 11:47:06.156994,GreenLife Hydropower Limited
2026041304004664,GLH,48,77,10,286.0,2860.0,2026-04-13,186129407,2924,Trishakti Securities Public Limited,Nabil Stock Dealer Ltd.,2026-04-13 11:47:25.649660,GreenLife Hydropower Limited
2026041304004754,GLH,48,39,110,286.0,31460.0,2026-04-13,186130042,2924,Trishakti Securities Public Limited,Sumeru Securities Pvt. Ltd.,2026-04-13 11:48:05.894164,GreenLife Hydropower Limited
2026041304004755,GLH,42,39,190,286.0,54340.0,2026-04-13,186130043,2924,Sani Securities Company Ltd.,Sumeru Securities Pvt. Ltd.,2026-04-13 11:48:05.894435,GreenLife Hydropower Limited
2026041304004826,GLH,46,52,12,286.2,3434.4,2026-04-13,186130718,2924,Kalika Securities Pvt. Ltd.,Sundhara Securities Limited,2026-04-13 11:48:40.592103,GreenLife Hydropower Limited
2026041304004941,GLH,42,41,10,286.0,2860.0,2026-04-13,186131459,2924,Sani Securities Company Ltd.,Linch Stock Market Ltd.,2026-04-13 11:49:21.170991,GreenLife Hydropower Limited
2026041304005080,GLH,39,74,50,286.6,14330.0,2026-04-13,186132737,2924,Sumeru Securities Pvt. Ltd.,KALASH STOCK MARKET PVT. LTD.,2026-04-13 11:50:34.535298,GreenLife Hydropower Limited
2026041304005081,GLH,39,3,1000,287.0,287000.0,2026-04-13,186132739,2924,Sumeru Securities Pvt. Ltd.,Arun Securities (PVT) Ltd.,2026-04-13 11:50:34.535463,GreenLife Hydropower Limited
2026041304005082,GLH,39,38,30,287.0,8610.0,2026-04-13,186132742,2924,Sumeru Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-13 11:50:34.535529,GreenLife Hydropower Limited
2026041304005147,GLH,57,58,100,287.5,28750.0,2026-04-13,186133302,2924,Aryatara Investment & Securities,Naasa Securities Co. Ltd.,2026-04-13 11:51:10.131230,GreenLife Hydropower Limited
2026041304005506,GLH,57,26,100,286.0,28600.0,2026-04-13,186136407,2924,Aryatara Investment & Securities,Asian Securities Private Ltd.,2026-04-13 11:55:13.559157,GreenLife Hydropower Limited
2026041304005529,GLH,21,56,180,286.0,51480.0,2026-04-13,186136617,2924,Midas Stock Broking Company Private Limited,Sri Hari Securities Pvt. Ltd.,2026-04-13 11:55:29.830458,GreenLife Hydropower Limited
2026041304005609,GLH,21,62,200,286.0,57200.0,2026-04-13,186137181,2924,Midas Stock Broking Company Private Limited,Capital Max Securities Ltd,2026-04-13 11:56:05.740635,GreenLife Hydropower Limited
2026041304005699,GLH,21,39,100,286.0,28600.0,2026-04-13,186137971,2924,Midas Stock Broking Company Private Limited,Sumeru Securities Pvt. Ltd.,2026-04-13 11:57:00.256763,GreenLife Hydropower Limited
2026041304005848,GLH,57,22,25,287.6,7190.0,2026-04-13,186138873,2924,Aryatara Investment & Securities,Siprabi Securities Pvt. Ltd.,2026-04-13 11:58:07.030815,GreenLife Hydropower Limited
2026041304005849,GLH,57,43,50,287.6,14380.0,2026-04-13,186138875,2924,Aryatara Investment & Securities,South Asian Bulls Pvt. Ltd.,2026-04-13 11:58:07.031090,GreenLife Hydropower Limited
2026041304005850,GLH,57,39,100,287.7,28770.0,2026-04-13,186138877,2924,Aryatara Investment & Securities,Sumeru Securities Pvt. Ltd.,2026-04-13 11:58:07.031310,GreenLife Hydropower Limited
2026041304005851,GLH,57,16,25,287.7,7192.5,2026-04-13,186138880,2924,Aryatara Investment & Securities,Primo Securities (PVT) Ltd.,2026-04-13 11:58:07.031519,GreenLife Hydropower Limited
2026041304006579,GLH,21,45,15,286.0,4290.0,2026-04-13,186142080,2924,Midas Stock Broking Company Private Limited,Imperial Securities Company Pvt. Ltd.,2026-04-13 12:01:49.588438,GreenLife Hydropower Limited
2026041304006580,GLH,57,45,200,286.0,57200.0,2026-04-13,186142081,2924,Aryatara Investment & Securities,Imperial Securities Company Pvt. Ltd.,2026-04-13 12:01:49.588604,GreenLife Hydropower Limited
2026041304007032,GLH,22,47,1000,286.0,286000.0,2026-04-13,186144541,2924,Siprabi Securities Pvt. Ltd.,Neev Securities Pvt. Ltd.,2026-04-13 12:05:29.308753,GreenLife Hydropower Limited
2026041304007117,GLH,58,45,10,285.9,2859.0,2026-04-13,186145097,2924,Naasa Securities Co. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-13 12:06:23.069691,GreenLife Hydropower Limited
2026041304007191,GLH,64,14,500,285.7,142850.0,2026-04-13,186145670,2924,SUN SECURITIES PVT LTD,Nepal Stock House (PVT) Ltd.,2026-04-13 12:07:01.600275,GreenLife Hydropower Limited
2026041304007192,GLH,13,14,200,285.6,57120.0,2026-04-13,186145672,2924,Thrive Brokerage House Pvt. Ltd,Nepal Stock House (PVT) Ltd.,2026-04-13 12:07:01.600475,GreenLife Hydropower Limited
2026041304007193,GLH,17,14,500,285.6,142800.0,2026-04-13,186145674,2924,ABC Securities Private Limited,Nepal Stock House (PVT) Ltd.,2026-04-13 12:07:01.600564,GreenLife Hydropower Limited
2026041304007194,GLH,88,14,300,285.5,85650.0,2026-04-13,186145675,2924,Blue Chip Securities Ltd,Nepal Stock House (PVT) Ltd.,2026-04-13 12:07:01.600628,GreenLife Hydropower Limited
2026041304007214,GLH,88,16,710,285.5,202705.0,2026-04-13,186145778,2924,Blue Chip Securities Ltd,Primo Securities (PVT) Ltd.,2026-04-13 12:07:10.756144,GreenLife Hydropower Limited
2026041304007215,GLH,49,16,2000,285.2,570400.0,2026-04-13,186145780,2924,Online Securities Pvt. Ltd.,Primo Securities (PVT) Ltd.,2026-04-13 12:07:10.756348,GreenLife Hydropower Limited
2026041304007216,GLH,25,16,5000,285.1,1425500.0,2026-04-13,186145782,2924,Sweta Securities Private Limited,Primo Securities (PVT) Ltd.,2026-04-13 12:07:10.756413,GreenLife Hydropower Limited
2026041304007233,GLH,59,16,50,285.1,14255.0,2026-04-13,186145942,2924,Deevyaa Securities & Stock House Pvt. Ltd,Primo Securities (PVT) Ltd.,2026-04-13 12:07:26.246364,GreenLife Hydropower Limited
2026041304007234,GLH,57,16,200,285.1,57020.0,2026-04-13,186145944,2924,Aryatara Investment & Securities,Primo Securities (PVT) Ltd.,2026-04-13 12:07:26.367218,GreenLife Hydropower Limited
2026041304007303,GLH,64,16,350,285.1,99785.0,2026-04-13,186146644,2924,SUN SECURITIES PVT LTD,Primo Securities (PVT) Ltd.,2026-04-13 12:08:11.315532,GreenLife Hydropower Limited
2026041304007334,GLH,64,16,100,285.1,28510.0,2026-04-13,186146802,2924,SUN SECURITIES PVT LTD,Primo Securities (PVT) Ltd.,2026-04-13 12:08:25.922878,GreenLife Hydropower Limited
2026041304007366,GLH,64,16,120,285.1,34212.0,2026-04-13,186146960,2924,SUN SECURITIES PVT LTD,Primo Securities (PVT) Ltd.,2026-04-13 12:08:40.611941,GreenLife Hydropower Limited
2026041304007397,GLH,59,16,50,285.1,14255.0,2026-04-13,186147222,2924,Deevyaa Securities & Stock House Pvt. Ltd,Primo Securities (PVT) Ltd.,2026-04-13 12:09:00.210759,GreenLife Hydropower Limited
2026041304007420,GLH,64,16,20,285.1,5702.0,2026-04-13,186147430,2924,SUN SECURITIES PVT LTD,Primo Securities (PVT) Ltd.,2026-04-13 12:09:20.696976,GreenLife Hydropower Limited
2026041304007456,GLH,56,16,300,285.1,85530.0,2026-04-13,186147690,2924,Sri Hari Securities Pvt. Ltd.,Primo Securities (PVT) Ltd.,2026-04-13 12:09:44.677176,GreenLife Hydropower Limited
